CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
"
19057,19058",No video,"
19076","19089,4208,19090
","
19106,19107,3513,4812",,
,,,,,,
,,,,,,
"17288,17295","14341,13910","14199,14200,14202,14203,14205","14992,15326,15327,13836,13928,15327,14712","8502,14237,14089",,
"13806,13825,13831,13813,13810","15868,15872","13653,13657","8541,16845,6202","16261,16262,15437",,
"16156,16157,16158,17310,17311,17312","15534,15535,14521","14206,14208,14209,14212","13661,15385","14236,9859,17300,17319",,
13653,"15437,17313,15438","14196,14036,14023","17317,16443",15778,,
"15709,15710,15711,15722","17315,16339,15363","14476,14479,14487","15385,13668,15386","17320,5784",,
"13653,7972,17314",17316,"14026,16179,16180",17318,"17321,17322",,
,,,,,,
"17325,17326,15709,15711",14018,"14200,14199,17402,14209","15389,10360,15962","10004,17302,11232",,
17371,"13615,12565,17373","14005,14007,14023","16552,16553",no video,,
,,,,,,
,,,,,,
"7107,4952,16662,14598,17372","17374,15740","17403,17404",no video,no video,,
"14490,15955,15956","12565,17373,16640","13741,13743,15734,13755,11229","16942,16943,16612","16439,16975,16441",,
,,,,,,
"13984,13986,13988,13992,14003,14008","16408,8152","15164,10771","13664,630,10512,10513","9859,17300,17320,10004,17302",,
"15519,14712,14709","16641,16642,16702","15091,15976,15977","15722,17437","17417,17418",,
"14124,14320,14324,14328","16408,8152",15129,630,"11232,6113",,
"15044,9349","16640,11217","15521,15522","17430,6059",no video,,
"14787,14867,17429,6065",17391,"15135,14728","15046,15048,5013","16666,14977,16314",,
"15728,15044","15138,15139,15140,15141,15142",3714,"15639,13618,15637",no video,,
,,,,,,
14874,"6287,9840","15136,15137,15461,15462,15463,15464,15465",5013,17440,,
"15040,15037","13946,13952,13954,11843,13958","15521,3714",16942,16439,,
"11839,3404",606,"15639,3962","51,5829","14286,8806,3474,14287,14289",,
15044,"16900,16901,16344","15060,15062,15063","17451,17452,17453,17454,17455,17456",17457,,
,,,,,,
,,,,,,
,,,,,,
"14766,14777","10367,10520",15635,"14215,17491,12869,17502",no video,,
"10367,10520,10521","11067,14016,6652,14027,17500",9008,"17503,17504,17505,17506,17507","5647,17509",,
"
17499,13353","15343,15346",15632,"14236,8502,14085
",17510,,
"10758,10520,10521
","14850,17501,8706","51,15363",no video,"17322,17418",,
,9255,,,"17511,17512,17513,17514,17515",,
"1055,17493,17494",,"14014,14521,16340","16569,17508",,,
,,,,,,
"14689,14701,12443,13720","15272,15274,15523","7638,17569,10325,12424","14237,14238","17510,17572,6012",,
8739,"8541,16845,6202","4328,15535,14313","17325,17326,15722, 15711,15712","5647,17580,17582",,
"11215,13615,14896","14730,14731,14733,14734","14806,14799","14236,16965,16966,14237,14089",no video,,
"15333,15335,15334","15817, 15988,16612","6001,15516,15517","17570,17571","17321,16715,16716,16717,16892,16893,16894,17128",,
,,,,,,
,,,,,,
,,,,,,
"15823,14857,17700,17675,11397,14701,17701,12443","15629,15631,15633,15638","3396,17703,17704","10909,7281","11053,11054,11055",,
"15334,15333","17702,6059","13312,13313,13314,13315","17570,17571",4869,,
"631,9941,4295","15629,17687,15633,15631","10733,10732,5103,17704","13312,13313","11054,11055",,
15356,"15248,15249","8635,13508,13113",no video,"17280,17281,8598",,
"11413,11625","11406,15755","16455,16456","14499,8997,14513,14516,17705","15315,15317,15319",,
"16167,17285","644,10515,4493",no video,"17275,17276,17277,17278","14771,14773",,
,,,,,,
"13793,16611","14386,17833",16684,"4925,17828,17705",15322,,
"11043,812,11045,11046","10727,10811",no video,no video,"8598,16344,17327",,
"14512,14514,14519",13881,"13134,13135,14136",13155,"15317,15323,15325",,
"15946,15952,15953,15954,11764
","15817,17702,6059",no video,"14144,14145,14229,14153",no video,,
,no video,,"15004,15005,15006,15008",15317,,
"16160,1459,15954",,no video,no video,,,
,,,,,,
"
12861,12860,17974",14390,No video,"15004,15005,15006,17988


","15097

",,
"15952,15953, 15954
","644,94, 10811


"," 17572
","14754,14801
",6467,,
" 11625,17714,4472
",14390,"14850, 6467,14850,
8541","17992,8698,17993","
17998,17999",,
15276,"
17714,16718,644, 94","15305,15311,15309","8103,16611",3462,,
" 14519,12861,13796

",17572,"
17982,17984","12427,17995,17997
", 18000,,
"  17975,17978,17980


","15771,5967,4697,15772

"," 15305,15309

",No video,"15208,15467,642,18001,
18002,6652",,
,,,,,,
"14151,14374,14375,14376,14377","568,9979","16718,6059","16977,14079,16978,11734,11735","18114,18115",,
13974,"15772,15774,7536","15305,15309","12845,12846,4472","7000,9851,9952",,
"14378,14691,16215","10227,10224","14065,6914,15655,15778",11884,18116,,
10225,"5750,15943,15945,18127,18128","14735, 14971,14737,13821","13615,14896","10886,18117,10852",,
"15501,15502,15500,15506",no video,17427,"12629,17530",18115,,
17289,"18129,15949,15950,15951","14971,10115","15166,15167","16872,16873,17301",,
,,,,,,
No Video,"
6001,15516","
5374,18250","18252
",No Video,,
"
11406,11403,18242,4280,5608
","322,15436,18249
", 13285,"18254,18255,18256,18257,18258,18260","
18262,18263,781,18264",,
"321,18247,18248,1328,587


"," 13312,13313
","
15817,18251,6059","
18253,17837,17838,17899","16452, 15725
",,
"
14395",No video,No Video,"
18261,10647, 10321","11337,11336, 11382

",,
,,,,,,
,,,,,,
,,,,,,
"17693,17825",15517,"17427,18311","12629,17530","
15725",,
"18318,5181","14748,14763,14765,15783","15309,18312,18313",13786,"12323,17531,12377,13153,12322",,
"13060,17473,17474,17715,17577","4925,17828,17705","16303,17427,18311",14086,no video,,
no video,18338,"18312,18313","18339,12811","18316,13720,13832",,
17011,"15001,15516",no video,"18228,352","15726,15727,4680",,
no video,no video,no video,"14849,14833,18315","781,944",,
,,,,,,
"
No video","
18427",No video,"
715",No video,,
No video,"
594","
18386",No video,No video,,
"
3587,5572","13004, 10960","
18432","
 18436,18437,715","
18438,15725",,
No video,"18428, 18429,5988","
18433",No video,"
18440,18439,18441,18442",,
,,"
90,18434","
18228","
18443,15725",,
,,"
18386","
17953,17954","18445,12854,18446


",,
,,,,,,
no video,"
3891,18430","
18650,18652","18656,18657","18658,18659",,
"
18431,11393,11394","
649","18653,18654",No video," 11832,13112,11892",,
no video,"
13004,18430","4856,18655,5647
","18656, 18657
","18658,18659",,
"18644,18645,18646","
6380","18653, 18654

",No video,"18661,18662",,
,,,,,,
,,,,,,
,,,,,,
"18414,18415,18417,18418","18801,14009",18655,"14960,18657",no video,,
"15413,15418,15416,15419",no video,18804,18282,"15790,7044,17427,17428",,
"18590,18797,18798,18799","13652,13655","16274,18802","14095,14097,14099,14101,14103","15537,15538,15539",,
"15245,15246",no video,14127,18123,18803,,
,,,,,,
,,,,,,
,,,,,,
"18870,18869","10374,15271,11390,5702",14799,"14954, 14955,14956,14958,14959","15305,15306,15309,15311",,
"18880,18881",no video,"4354,18888,14127","9899,17697","17567,17568,17421,18893",,
18589,"5702,11390,11395","18882,18883","17034,14097,14103,17096,14959","18892,18016",,
"18270,5037","
5443","14127,18804","18889,18680,18890,18891","18862,18894,18860",,
18879,"15648,15650,16049","18884,18885,18886,18887",no video,13982,,
no video,"14791,15169","16205,16302",17953,"
17497",,
,,,,,,
no video,15879,NO VIDEO,"16464,16438,16465,16466,16467","18294,10738,18295",,
"17940,16393,18927","6220,5861","16205,16302","18872,18874,18875,18910,9826","
10642",,
14208,"17940, 17941,16054,17942",618,"16438,18929",no video,,
17840,"19025,19024","15004,15005","19027,12892","10727,18943",,
,"15521,17940",,"18930,18931,18932","18720,15325,18719",,
"18527,17634,561",,"5702,11390,11395",,,,
,,,,,,
"
19108,19110
","15933, 15934,15937,16682,19121

",3970,"19133,19134,16991","19138,19139,19142",,
"
19111,19112,19113,19114","19122,19123,19124","
19154,10234, 10374","
19150,19151","
19152",,
"
19149","19125,19126,19127","
19155","19135,19136,19137","
19143",,
No video, 19128,"10374,10495,1322,10494

","5861,18933,3859",17421,,
No video,," 618, 19156
",,,,
